CustomerKey;GeographyKey;FirstName;LastName;BirthDate;MaritalStatus;Gender;YearlyIncome;TotalChildren;EnglishEducation;EnglishOccupation;DateFirstPurchase;CommuteDistance;NumberCarsOwned;HouseOwnerFlag
11358;2;Cynthia;Malhotra;1984-05-10;S;F;10000,00;0;Partial College;Manual;2011-06-28;0-1 Miles;1;0
11749;2;Eduardo;Jackson;1980-09-09;M;M;80000,00;4;Graduate Degree;Management;2013-04-08;0-1 Miles;1;0
11753;2;Felicia;Ortega;1975-09-15;M;F;80000,00;4;Graduate Degree;Management;2013-04-19;0-1 Miles;1;1
11918;2;Kaylee;Hill;1969-08-31;M;F;60000,00;3;Bachelors;Professional;2011-10-13;5-10 Miles;2;1
11963;2;Antonio;Patterson;1960-12-10;M;M;80000,00;2;High School;Skilled Manual;2011-10-22;1-2 Miles;2;0
11997;2;Kristina;Kapoor;1971-04-04;M;F;60000,00;1;Partial College;Skilled Manual;2011-11-05;0-1 Miles;1;1
12012;2;Monica;Schmidt;1971-10-19;M;F;60000,00;3;Partial College;Skilled Manual;2013-02-13;0-1 Miles;2;0
12571;2;Jennifer;Green;1985-11-16;M;F;10000,00;0;Partial College;Manual;2011-12-29;0-1 Miles;1;0
12669;2;Irving;Schmidt;1981-09-01;S;M;70000,00;0;Bachelors;Professional;2012-02-07;10+ Miles;3;0
12677;2;Cedric;Liu;1980-05-04;M;M;100000,00;0;High School;Management;2012-02-04;10+ Miles;2;1
12687;2;Marshall;Li;1977-10-18;S;M;90000,00;0;Bachelors;Professional;2012-03-17;10+ Miles;3;0
12695;2;Kari;Ruiz;1976-08-01;M;F;90000,00;0;Bachelors;Professional;2013-05-10;10+ Miles;4;1
13123;2;Kelli;Raji;1975-05-01;S;F;70000,00;0;Bachelors;Professional;2012-06-14;0-1 Miles;1;0
13620;2;Damien;Ye;1981-07-31;S;M;70000,00;0;Bachelors;Professional;2012-07-06;10+ Miles;3;0
13668;2;Stanley;Martinez;1974-10-03;M;M;60000,00;5;Bachelors;Professional;2013-02-06;5-10 Miles;2;1
14007;2;Rebekah;Garcia;1960-08-22;M;F;10000,00;2;Partial High School;Clerical;2012-08-11;1-2 Miles;2;1
14131;2;Javier;Navarro;1984-02-13;M;M;20000,00;0;Bachelors;Clerical;2012-08-08;0-1 Miles;0;1
14217;2;Terrance;Lopez;1985-04-21;S;M;80000,00;0;Bachelors;Professional;2013-03-09;10+ Miles;3;0
14316;2;Leonard;Anand;1967-07-07;M;M;60000,00;1;Partial College;Skilled Manual;2012-08-30;0-1 Miles;1;1
14322;2;Sydney;Thomas;1964-01-07;S;F;90000,00;2;Bachelors;Management;2012-08-31;2-5 Miles;1;1
15019;2;Mary;Ramos;1956-09-24;S;F;30000,00;3;High School;Skilled Manual;2013-03-12;5-10 Miles;2;1
15042;2;Bryant;Perez;1982-07-21;S;M;20000,00;0;Partial College;Manual;2012-10-21;0-1 Miles;0;0
15153;2;Kristen;Li;1977-04-02;M;F;110000,00;0;Partial High School;Professional;2013-02-23;10+ Miles;4;0
15262;2;Jan;Gonzalez;1945-11-17;M;F;30000,00;2;Partial College;Clerical;2012-11-10;0-1 Miles;2;0
15730;2;Philip;Dominguez;1977-08-18;M;M;90000,00;0;Bachelors;Professional;2013-08-19;10+ Miles;3;1
15793;2;Renee;Navarro;1976-04-08;S;F;70000,00;0;Bachelors;Professional;2012-12-17;0-1 Miles;1;0
16032;2;Colin;Chavez;1959-01-11;M;M;10000,00;2;Partial High School;Clerical;2013-02-23;1-2 Miles;2;1
16168;2;Kathryn;Ashe;1973-03-07;M;F;70000,00;5;Bachelors;Professional;2013-02-21;10+ Miles;4;1
16180;2;Kyle;Perez;1976-08-18;S;M;70000,00;0;Bachelors;Professional;2012-12-26;0-1 Miles;1;0
16610;2;Sydney;Clark;1979-12-21;M;F;70000,00;0;Bachelors;Professional;2013-03-12;10+ Miles;4;0
16635;2;Erick;Suri;1975-08-14;M;M;100000,00;0;Partial High School;Professional;2013-04-18;10+ Miles;4;1
16680;2;Carlos;Edwards;1968-09-12;M;M;70000,00;0;Bachelors;Professional;2013-08-09;0-1 Miles;1;0
16689;2;Rafael;Shen;1967-03-03;M;M;60000,00;1;Partial College;Skilled Manual;2013-08-18;5-10 Miles;1;1
16692;2;Jay;Diaz;1976-10-11;M;M;60000,00;1;Partial College;Skilled Manual;2013-04-10;5-10 Miles;1;1
16705;2;Jacqueline;Wood;1964-01-08;M;F;80000,00;5;Bachelors;Professional;2013-08-10;0-1 Miles;2;0
16712;2;Suzanne;Lu;1962-04-23;S;F;70000,00;1;Partial College;Skilled Manual;2011-02-03;0-1 Miles;1;0
16743;2;Ariana;Stewart;1947-11-17;M;F;40000,00;2;Bachelors;Management;2011-01-29;0-1 Miles;2;1
17075;2;Aimee;Guo;1970-01-10;M;F;60000,00;4;Bachelors;Professional;2013-08-18;10+ Miles;3;1
17246;2;Micah;Wu;1976-07-08;S;M;90000,00;0;Bachelors;Professional;2011-03-08;10+ Miles;3;1
17284;2;Gerald;Martin;1974-01-02;S;M;60000,00;2;Bachelors;Professional;2013-02-05;2-5 Miles;1;1
17319;2;Brianna;Johnson;1969-06-30;S;F;70000,00;0;Bachelors;Professional;2013-09-17;5-10 Miles;1;0
17329;2;Jasmine;Wilson;1968-04-24;M;F;60000,00;1;Partial College;Skilled Manual;2011-03-23;0-1 Miles;1;1
17728;2;Maria;Perry;1983-11-09;S;F;10000,00;0;Partial College;Manual;2011-04-01;0-1 Miles;1;0
17911;2;Pedro;Rodriguez;1982-05-12;M;M;10000,00;1;High School;Manual;2011-04-06;2-5 Miles;0;1
18196;2;Ivan;Rana;1979-09-20;M;M;100000,00;0;High School;Management;2011-05-11;10+ Miles;2;0
18206;2;Bruce;Madan;1983-03-17;M;M;100000,00;0;High School;Management;2013-04-22;10+ Miles;3;1
18263;2;Karla;Jai;1975-04-19;M;F;60000,00;3;Bachelors;Professional;2013-02-24;5-10 Miles;2;1
18296;2;Trisha;Li;1969-05-15;S;F;70000,00;0;Bachelors;Professional;2011-06-10;0-1 Miles;1;0
